TransactionID,Date,Region,BranchID,BranchName,BranchManager,ProductCategory,ProductID,Quantity,UnitPrice,UnitCost,GrossSales,COGS,GrossProfit,OperationalCost,NetProfit,PaymentMethod,DayOfWeek
T000024,2020-06-16,West,B011,West - Ahmedabad,Kumar S,Electronics,ELE-021,1,14528.37,9042.18,14528.37,9042.18,5486.19,781.93,4704.26,Card,Tuesday
T000025,2019-01-27,North,B007,North - Trichy,Sahana P,Grocery,GRO-028,1,1433.82,1088.59,1433.82,1088.59,345.23,248.1,97.13,Card,Sunday
T000026,2020-08-28,East,B003,East - Siliguri,Sunita M,Toys,TOY-021,1,1378.95,854.74,1378.95,854.74,524.21,132.57,391.64,UPI,Friday
T000027,2021-10-15,South,B010,South - Mysore,Meera S,Clothing,CLO-022,1,1308.11,723.84,1308.11,723.84,584.27,136.86,447.41,Cash,Friday
T000028,2021-02-15,East,B002,East - Kolkata,Priya N,Grocery,GRO-026,2,4342.01,3341.76,8684.02,6683.52,2000.5,911.73,1088.77,UPI,Monday
T000029,2020-12-12,West,B013,West - Pune,Bhavani L,Health & Beauty,HEA-012,2,186.7,121.84,373.4,243.68,129.72,68.91,60.81,Card,Saturday
T000030,2019-06-19,South,B008,South - Bangalore,Ravi K,Health & Beauty,HEA-022,1,242.23,134.71,242.23,134.71,107.52,45.36,62.16,UPI,Wednesday
T000031,2019-10-25,West,B012,West - Mumbai,Vikram J,Clothing,CLO-006,1,2680.21,1713.25,2680.21,1713.25,966.96,364.63,602.33,Wallet,Friday
T000032,2020-07-19,South,B009,South - Mangalore,Nitin R,Health & Beauty,HEA-019,1,438.36,201.15,438.36,201.15,237.21,118.9,118.31,Card,Sunday
T000033,2020-03-23,South,B010,South - Mysore,Meera S,Grocery,GRO-034,1,514.67,264.54,514.67,264.54,250.13,120.98,129.15,Card,Monday
T000034,2020-12-20,North,B005,North - Coimbatore,Divya G,Home & Kitchen,HOM-003,1,1812.06,1296.07,1812.06,1296.07,515.99,50.64,465.35,Cash,Sunday
T000035,2019-02-14,South,B010,South - Mysore,Meera S,Home & Kitchen,HOM-012,1,3828.65,2804.18,3828.65,2804.18,1024.47,314.62,709.85,Card,Thursday
T000036,2019-02-22,South,B008,South - Bangalore,Ravi K,Health & Beauty,HEA-031,1,4670.51,2920.77,4670.51,2920.77,1749.74,532.26,1217.48,Card,Friday
T000037,2021-10-30,South,B008,South - Bangalore,Ravi K,Health & Beauty,HEA-032,3,2898.6,1698.17,8695.8,5094.51,3601.29,1094.56,2506.73,Card,Saturday
T000038,2021-10-27,East,B002,East - Kolkata,Priya N,Toys,TOY-010,1,1406.11,738.36,1406.11,738.36,667.75,119.75,548.0,Card,Wednesday
T000039,2020-01-04,South,B008,South - Bangalore,Ravi K,Health & Beauty,HEA-026,1,1340.44,835.92,1340.44,835.92,504.52,196.09,308.43,NetBanking,Saturday
T000040,2019-02-12,North,B004,North - Chennai,Anil Rao,Toys,TOY-036,1,3765.54,2757.85,3765.54,2757.85,1007.69,695.64,312.05,Card,Tuesday
T000041,2021-04-30,West,B011,West - Ahmedabad,Kumar S,Toys,TOY-037,1,3415.23,2421.29,3415.23,2421.29,993.94,220.48,773.46,Card,Friday
T000042,2020-06-27,North,B005,North - Coimbatore,Divya G,Grocery,GRO-019,1,103.65,79.49,103.65,79.49,24.16,22.96,1.2,Wallet,Saturday
T000043,2021-11-06,East,B001,East - Bhubaneswar,Arun D,Home & Kitchen,HOM-005,1,1676.89,1149.31,1676.89,1149.31,527.58,276.02,251.56,UPI,Saturday
T000044,2019-04-10,South,B010,South - Mysore,Meera S,Grocery,GRO-031,1,3698.33,2370.89,3698.33,2370.89,1327.44,540.22,787.22,Card,Wednesday
T000045,2021-07-05,North,B004,North - Chennai,Anil Rao,Health & Beauty,HEA-046,1,410.18,302.57,410.18,302.57,107.61,63.21,44.4,Cash,Monday
T000046,2021-12-16,West,B012,West - Mumbai,Vikram J,Electronics,ELE-017,3,24653.53,17594.79,73960.59,52784.37,21176.22,5940.51,15235.71,UPI,Thursday
T000047,2020-09-03,East,B001,East - Bhubaneswar,Arun D,Toys,TOY-039,1,1305.73,772.76,1305.73,772.76,532.97,183.85,349.12,UPI,Thursday
T000048,2021-06-19,East,B002,East - Kolkata,Priya N,Home & Kitchen,HOM-028,3,1905.61,1048.08,5716.83,3144.24,2572.59,923.9,1648.69,Wallet,Saturday
T000049,2019-01-14,West,B012,West - Mumbai,Vikram J,Grocery,GRO-021,1,4626.98,3570.6,4626.98,3570.6,1056.38,316.13,740.25,Cash,Monday
T000050,2019-07-02,North,B005,North - Coimbatore,Divya G,Grocery,GRO-001,1,2942.36,2252.1,2942.36,2252.1,690.26,97.89,592.37,Wallet,Tuesday
T000051,2021-09-01,West,B012,West - Mumbai,Vikram J,Grocery,GRO-028,1,1971.93,1045.69,1971.93,1045.69,926.24,144.56,781.68,Card,Wednesday
T000052,2020-05-11,East,B002,East - Kolkata,Priya N,Grocery,GRO-020,1,1391.24,690.91,1391.24,690.91,700.33,92.11,608.22,Card,Monday
T000053,2020-09-28,North,B005,North - Coimbatore,Divya G,Grocery,GRO-030,2,273.83,125.75,547.66,251.5,296.16,85.42,210.74,Wallet,Monday
T000054,2019-06-14,North,B005,North - Coimbatore,Divya G,Electronics,ELE-022,2,14334.77,6769.3,28669.54,13538.6,15130.94,753.32,14377.62,Cash,Friday
T000055,2019-03-24,West,B012,West - Mumbai,Vikram J,Clothing,CLO-005,5,2799.39,2013.17,13996.95,10065.85,3931.1,2438.99,1492.11,Card,Sunday
T000056,2020-05-08,South,B008,South - Bangalore,Ravi K,Toys,TOY-013,1,4397.19,3143.77,4397.19,3143.77,1253.42,138.03,1115.39,Cash,Friday
T000057,2020-06-29,South,B010,South - Mysore,Meera S,Health & Beauty,HEA-050,2,2781.94,1798.05,5563.88,3596.1,1967.78,914.85,1052.93,Cash,Monday
T000058,2019-02-01,East,B002,East - Kolkata,Priya N,Clothing,CLO-002,2,4520.6,3010.91,9041.2,6021.82,3019.38,1631.52,1387.86,Card,Friday
T000059,2020-08-30,East,B003,East - Siliguri,Sunita M,Home & Kitchen,HOM-038,1,4556.83,2525.79,4556.83,2525.79,2031.04,509.29,1521.75,UPI,Sunday
T000060,2020-05-17,North,B005,North - Coimbatore,Divya G,Home & Kitchen,HOM-020,1,4901.16,3050.56,4901.16,3050.56,1850.6,389.33,1461.27,Card,Sunday
T000061,2019-03-25,North,B006,North - Madurai,Karthik V,Grocery,GRO-031,1,3503.45,1797.35,3503.45,1797.35,1706.1,484.02,1222.08,NetBanking,Monday
T000062,2020-07-18,West,B013,West - Pune,Bhavani L,Clothing,CLO-019,2,1758.16,1005.08,3516.32,2010.16,1506.16,117.91,1388.25,Card,Saturday
T000063,2020-01-25,South,B010,South - Mysore,Meera S,Grocery,GRO-026,1,244.6,178.51,244.6,178.51,66.09,38.14,27.95,NetBanking,Saturday
T000064,2021-10-05,North,B004,North - Chennai,Anil Rao,Grocery,GRO-001,1,3006.53,2390.76,3006.53,2390.76,615.77,364.84,250.93,Card,Tuesday
T000065,2021-04-12,South,B010,South - Mysore,Meera S,Home & Kitchen,HOM-014,1,708.93,489.52,708.93,489.52,219.41,148.7,70.71,Cash,Monday
T000066,2021-08-07,South,B009,South - Mangalore,Nitin R,Electronics,ELE-025,1,4761.53,3082.56,4761.53,3082.56,1678.97,744.74,934.23,Card,Saturday
T000067,2019-09-13,North,B007,North - Trichy,Sahana P,Clothing,CLO-010,1,2517.29,1209.36,2517.29,1209.36,1307.93,298.08,1009.85,UPI,Friday
T000068,2020-04-17,East,B001,East - Bhubaneswar,Arun D,Grocery,GRO-006,2,3057.4,1637.31,6114.8,3274.62,2840.18,629.63,2210.55,NetBanking,Friday
T000069,2019-01-09,North,B005,North - Coimbatore,Divya G,Electronics,ELE-048,1,4867.53,2676.09,4867.53,2676.09,2191.44,277.73,1913.71,Cash,Wednesday
T000070,2020-07-28,West,B012,West - Mumbai,Vikram J,Toys,TOY-031,2,2901.19,2237.07,5802.38,4474.14,1328.24,169.85,1158.39,Card,Tuesday
T000071,2021-03-02,South,B008,South - Bangalore,Ravi K,Home & Kitchen,HOM-011,1,1435.9,1032.88,1435.9,1032.88,403.02,91.26,311.76,Card,Tuesday
T000072,2020-07-09,North,B007,North - Trichy,Sahana P,Grocery,GRO-026,1,482.09,302.34,482.09,302.34,179.75,100.96,78.79,Card,Thursday
T000073,2020-02-09,West,B013,West - Pune,Bhavani L,Clothing,CLO-010,4,1645.65,1207.01,6582.6,4828.04,1754.56,435.51,1319.05,UPI,Sunday
T000074,2020-10-14,West,B013,West - Pune,Bhavani L,Electronics,ELE-030,1,21305.5,15150.15,21305.5,15150.15,6155.35,1865.68,4289.67,Wallet,Wednesday
T000075,2019-08-13,East,B003,East - Siliguri,Sunita M,Toys,TOY-022,1,3918.5,2898.83,3918.5,2898.83,1019.67,589.88,429.79,UPI,Tuesday
T000076,2019-07-24,East,B003,East - Siliguri,Sunita M,Home & Kitchen,HOM-004,1,2962.12,2041.03,2962.12,2041.03,921.09,310.56,610.53,NetBanking,Wednesday
T000077,2020-11-14,North,B006,North - Madurai,Karthik V,Electronics,ELE-033,1,22514.47,13156.6,22514.47,13156.6,9357.87,2454.13,6903.74,Card,Saturday
T000078,2019-05-09,South,B009,South - Mangalore,Nitin R,Clothing,CLO-008,1,875.32,663.07,875.32,663.07,212.25,125.26,86.99,Card,Thursday
T000079,2021-12-28,North,B004,North - Chennai,Anil Rao,Home & Kitchen,HOM-027,1,215.99,140.28,215.99,140.28,75.71,75.12,0.59,Card,Tuesday
T000080,2021-06-18,East,B003,East - Siliguri,Sunita M,Health & Beauty,HEA-024,1,2536.33,1620.59,2536.33,1620.59,915.74,271.5,644.24,UPI,Friday
T000081,2019-01-14,East,B003,East - Siliguri,Sunita M,Clothing,CLO-026,1,1761.2,904.48,1761.2,904.48,856.72,322.47,534.25,Card,Monday
T000082,2020-05-20,South,B009,South - Mangalore,Nitin R,Grocery,GRO-013,1,548.93,296.21,548.93,296.21,252.72,106.43,146.29,Cash,Wednesday
T000083,2021-10-03,North,B007,North - Trichy,Sahana P,Grocery,GRO-042,1,1903.46,902.47,1903.46,902.47,1000.99,71.31,929.68,UPI,Sunday
T000084,2021-09-24,North,B005,North - Coimbatore,Divya G,Grocery,GRO-026,2,667.08,515.18,1334.16,1030.36,303.8,240.72,63.08,Card,Friday
T000085,2020-03-12,North,B004,North - Chennai,Anil Rao,Grocery,GRO-026,1,2020.94,1289.54,2020.94,1289.54,731.4,358.44,372.96,Card,Thursday
T000086,2021-03-18,North,B007,North - Trichy,Sahana P,Grocery,GRO-044,2,1278.72,833.94,2557.44,1667.88,889.56,125.4,764.16,Card,Thursday
T000087,2021-05-04,East,B001,East - Bhubaneswar,Arun D,Grocery,GRO-050,1,931.28,732.33,931.28,732.33,198.95,64.44,134.51,Cash,Tuesday
T000088,2021-12-27,North,B006,North - Madurai,Karthik V,Clothing,CLO-013,1,2162.61,1578.54,2162.61,1578.54,584.07,190.22,393.85,Card,Monday
T000089,2020-02-18,West,B011,West - Ahmedabad,Kumar S,Grocery,GRO-014,1,2661.86,1695.76,2661.86,1695.76,966.1,285.5,680.6,UPI,Tuesday
T000090,2019-04-23,West,B012,West - Mumbai,Vikram J,Grocery,GRO-003,1,1390.19,938.93,1390.19,938.93,451.26,124.86,326.4,Cash,Tuesday
T000091,2021-02-22,North,B007,North - Trichy,Sahana P,Grocery,GRO-003,1,3375.87,1542.43,3375.87,1542.43,1833.44,164.75,1668.69,Cash,Monday
T000092,2020-12-15,East,B001,East - Bhubaneswar,Arun D,Health & Beauty,HEA-024,1,4285.7,3173.89,4285.7,3173.89,1111.81,393.13,718.68,Card,Tuesday
T000093,2019-11-17,West,B013,West - Pune,Bhavani L,Grocery,GRO-007,1,4248.23,2094.26,4248.23,2094.26,2153.97,714.63,1439.34,UPI,Sunday
T000094,2021-09-24,North,B007,North - Trichy,Sahana P,Grocery,GRO-002,1,219.43,162.54,219.43,162.54,56.89,56.33,0.56,Card,Friday
T000095,2021-07-31,East,B001,East - Bhubaneswar,Arun D,Home & Kitchen,HOM-024,1,2850.59,2265.87,2850.59,2265.87,584.72,285.06,299.66,Card,Saturday
T000096,2020-07-15,North,B007,North - Trichy,Sahana P,Home & Kitchen,HOM-025,1,739.81,549.11,739.81,549.11,190.7,159.98,30.72,Cash,Wednesday
T000097,2019-10-26,East,B001,East - Bhubaneswar,Arun D,Toys,TOY-021,2,2515.55,1191.14,5031.1,2382.28,2648.82,454.22,2194.6,UPI,Saturday
T000098,2019-04-27,South,B008,South - Bangalore,Ravi K,Grocery,GRO-031,2,3007.19,1985.29,6014.38,3970.58,2043.8,773.14,1270.66,NetBanking,Saturday
T000099,2020-04-03,West,B013,West - Pune,Bhavani L,Clothing,CLO-002,1,3703.27,1773.79,3703.27,1773.79,1929.48,447.49,1481.99,Card,Friday
T000100,2019-11-13,West,B012,West - Mumbai,Vikram J,Home & Kitchen,HOM-040,1,2406.45,1641.88,2406.45,1641.88,764.57,446.8,317.77,Card,Wednesday
T000101,2019-02-04,West,B011,West - Ahmedabad,Kumar S,Clothing,CLO-043,2,4778.42,2408.97,9556.84,4817.94,4738.9,1170.61,3568.29,Card,Monday
T000102,2020-01-20,North,B004,North - Chennai,Anil Rao,Home & Kitchen,HOM-040,1,1269.69,935.36,1269.69,935.36,334.33,224.06,110.27,Card,Monday
T000103,2020-10-08,East,B002,East - Kolkata,Priya N,Grocery,GRO-049,1,4753.67,2881.21,4753.67,2881.21,1872.46,265.27,1607.19,NetBanking,Thursday
T000104,2021-03-12,North,B004,North - Chennai,Anil Rao,Home & Kitchen,HOM-016,2,1285.86,798.9,2571.72,1597.8,973.92,191.9,782.02,NetBanking,Friday
T000105,2019-02-13,South,B009,South - Mangalore,Nitin R,Toys,TOY-026,1,4581.67,2116.19,4581.67,2116.19,2465.48,621.27,1844.21,NetBanking,Wednesday
T000106,2021-11-29,East,B002,East - Kolkata,Priya N,Clothing,CLO-030,1,2302.96,1457.43,2302.96,1457.43,845.53,317.82,527.71,Card,Monday
T000107,2020-09-05,North,B005,North - Coimbatore,Divya G,Health & Beauty,HEA-043,1,3637.6,1720.13,3637.6,1720.13,1917.47,285.53,1631.94,UPI,Saturday
T000108,2019-12-16,South,B008,South - Bangalore,Ravi K,Health & Beauty,HEA-042,2,2116.66,1294.72,4233.32,2589.44,1643.88,760.47,883.41,Cash,Monday
T000109,2020-02-25,West,B011,West - Ahmedabad,Kumar S,Grocery,GRO-046,1,3847.58,2272.67,3847.58,2272.67,1574.91,405.61,1169.3,NetBanking,Tuesday
T000110,2021-12-13,South,B010,South - Mysore,Meera S,Electronics,ELE-039,1,18373.73,8289.7,18373.73,8289.7,10084.03,1759.64,8324.39,NetBanking,Monday
T000111,2021-02-22,North,B004,North - Chennai,Anil Rao,Grocery,GRO-046,1,591.86,347.46,591.86,347.46,244.4,71.66,172.74,UPI,Monday
T000112,2019-10-11,West,B013,West - Pune,Bhavani L,Toys,TOY-046,1,4523.43,3601.62,4523.43,3601.62,921.81,636.39,285.42,Card,Friday
T000113,2021-07-06,South,B008,South - Bangalore,Ravi K,Health & Beauty,HEA-046,1,923.81,487.01,923.81,487.01,436.8,86.11,350.69,Card,Tuesday
T000114,2019-03-05,East,B003,East - Siliguri,Sunita M,Health & Beauty,HEA-035,1,2648.91,1433.28,2648.91,1433.28,1215.63,298.46,917.17,Wallet,Tuesday
T000115,2021-09-09,East,B001,East - Bhubaneswar,Arun D,Clothing,CLO-047,1,4479.86,3364.57,4479.86,3364.57,1115.29,440.08,675.21,Card,Thursday
T000116,2020-06-05,East,B002,East - Kolkata,Priya N,Health & Beauty,HEA-042,2,3293.45,2117.03,6586.9,4234.06,2352.84,246.79,2106.05,Card,Friday
T000117,2019-10-12,North,B007,North - Trichy,Sahana P,Clothing,CLO-006,3,591.87,451.64,1775.61,1354.92,420.69,324.96,95.73,NetBanking,Saturday
T000118,2020-07-19,East,B001,East - Bhubaneswar,Arun D,Clothing,CLO-040,1,2850.37,1549.06,2850.37,1549.06,1301.31,498.6,802.71,Card,Sunday
T000119,2021-07-20,East,B002,East - Kolkata,Priya N,Grocery,GRO-045,1,3416.7,2277.28,3416.7,2277.28,1139.42,491.96,647.46,NetBanking,Tuesday
T000120,2021-08-12,East,B003,East - Siliguri,Sunita M,Health & Beauty,HEA-010,2,1181.69,907.59,2363.38,1815.18,548.2,77.72,470.48,UPI,Thursday
T000121,2019-10-11,South,B008,South - Bangalore,Ravi K,Clothing,CLO-049,1,623.43,362.74,623.43,362.74,260.69,55.21,205.48,Cash,Friday
T000122,2019-11-07,East,B001,East - Bhubaneswar,Arun D,Electronics,ELE-034,1,15907.39,12347.47,15907.39,12347.47,3559.92,626.23,2933.69,Card,Thursday
T000123,2019-03-16,East,B002,East - Kolkata,Priya N,Home & Kitchen,HOM-017,1,1762.12,1175.9,1762.12,1175.9,586.22,92.36,493.86,Wallet,Saturday
T000124,2021-11-26,West,B011,West - Ahmedabad,Kumar S,Grocery,GRO-012,1,159.51,89.85,159.51,89.85,69.66,55.33,14.33,Card,Friday
T000125,2020-05-03,South,B010,South - Mysore,Meera S,Toys,TOY-017,1,4278.34,2714.43,4278.34,2714.43,1563.91,669.36,894.55,UPI,Sunday
T000126,2021-04-26,West,B013,West - Pune,Bhavani L,Grocery,GRO-003,3,797.74,479.69,2393.22,1439.07,954.15,433.08,521.07,Card,Monday
T000127,2020-03-11,North,B004,North - Chennai,Anil Rao,Toys,TOY-001,1,3635.89,2585.27,3635.89,2585.27,1050.62,233.34,817.28,UPI,Wednesday
T000128,2020-09-08,West,B011,West - Ahmedabad,Kumar S,Toys,TOY-046,1,501.26,252.52,501.26,252.52,248.74,75.28,173.46,Cash,Tuesday
T000129,2021-05-22,West,B012,West - Mumbai,Vikram J,Toys,TOY-003,1,2337.38,1052.83,2337.38,1052.83,1284.55,302.84,981.71,Card,Saturday
T000130,2020-09-03,West,B012,West - Mumbai,Vikram J,Grocery,GRO-022,1,1381.52,1007.33,1381.52,1007.33,374.19,121.72,252.47,Cash,Thursday
T000131,2019-03-21,West,B013,West - Pune,Bhavani L,Clothing,CLO-031,1,3302.07,2360.88,3302.07,2360.88,941.19,615.21,325.98,UPI,Thursday
T000132,2021-03-31,North,B004,North - Chennai,Anil Rao,Grocery,GRO-046,1,2519.5,1678.88,2519.5,1678.88,840.62,363.75,476.87,Cash,Wednesday
T000133,2019-12-24,South,B008,South - Bangalore,Ravi K,Grocery,GRO-013,1,4131.34,2376.47,4131.34,2376.47,1754.87,344.52,1410.35,Card,Tuesday
T000134,2021-01-29,East,B001,East - Bhubaneswar,Arun D,Grocery,GRO-044,1,3200.33,2231.48,3200.33,2231.48,968.85,127.31,841.54,Cash,Friday
T000135,2020-08-15,South,B010,South - Mysore,Meera S,Clothing,CLO-020,1,4083.38,1952.02,4083.38,1952.02,2131.36,695.93,1435.43,UPI,Saturday
T000136,2020-05-10,East,B003,East - Siliguri,Sunita M,Clothing,CLO-042,1,3637.89,2392.45,3637.89,2392.45,1245.44,477.84,767.6,Card,Sunday
T000137,2019-12-27,South,B008,South - Bangalore,Ravi K,Grocery,GRO-032,1,2799.05,1964.15,2799.05,1964.15,834.9,208.13,626.77,Wallet,Friday
T000138,2020-12-13,South,B009,South - Mangalore,Nitin R,Home & Kitchen,HOM-029,1,1057.71,787.1,1057.71,787.1,270.61,98.87,171.74,Card,Sunday
T000139,2021-07-15,North,B007,North - Trichy,Sahana P,Home & Kitchen,HOM-020,1,2739.34,1725.51,2739.34,1725.51,1013.83,318.85,694.98,Card,Thursday
T000140,2020-10-25,East,B001,East - Bhubaneswar,Arun D,Health & Beauty,HEA-039,1,2982.13,2294.23,2982.13,2294.23,687.9,193.19,494.71,Card,Sunday
T000141,2021-03-13,East,B001,East - Bhubaneswar,Arun D,Home & Kitchen,HOM-048,1,3181.08,1846.61,3181.08,1846.61,1334.47,348.12,986.35,Cash,Saturday
T000142,2020-04-23,South,B008,South - Bangalore,Ravi K,Electronics,ELE-039,1,14925.53,7570.73,14925.53,7570.73,7354.8,1281.07,6073.73,Card,Thursday
T000143,2020-12-20,East,B002,East - Kolkata,Priya N,Home & Kitchen,HOM-036,3,2296.26,1223.03,6888.78,3669.09,3219.69,231.42,2988.27,Card,Sunday
T000144,2020-01-05,South,B008,South - Bangalore,Ravi K,Electronics,ELE-020,1,23727.44,12774.49,23727.44,12774.49,10952.95,1860.48,9092.47,Card,Sunday
T000145,2020-01-26,West,B012,West - Mumbai,Vikram J,Health & Beauty,HEA-044,1,4327.87,2792.99,4327.87,2792.99,1534.88,466.96,1067.92,Wallet,Sunday
T000146,2019-05-15,North,B007,North - Trichy,Sahana P,Grocery,GRO-001,1,2288.39,1777.75,2288.39,1777.75,510.64,189.35,321.29,Cash,Wednesday
T000147,2019-06-12,North,B005,North - Coimbatore,Divya G,Toys,TOY-043,1,1649.5,1304.07,1649.5,1304.07,345.43,202.53,142.9,Card,Wednesday
T000148,2020-01-11,South,B009,South - Mangalore,Nitin R,Grocery,GRO-045,1,4702.11,3322.11,4702.11,3322.11,1380.0,229.68,1150.32,UPI,Saturday
T000149,2019-06-20,South,B008,South - Bangalore,Ravi K,Toys,TOY-047,1,4198.67,3277.54,4198.67,3277.54,921.13,570.34,350.79,Card,Thursday
T000150,2021-08-09,West,B012,West - Mumbai,Vikram J,Grocery,GRO-008,1,4597.46,3035.3,4597.46,3035.3,1562.16,826.26,735.9,Card,Monday
T000151,2020-09-24,South,B010,South - Mysore,Meera S,Toys,TOY-006,1,4338.87,3460.98,4338.87,3460.98,877.89,618.2,259.69,Card,Thursday
T000152,2019-04-30,South,B008,South - Bangalore,Ravi K,Home & Kitchen,HOM-004,1,4048.84,2902.21,4048.84,2902.21,1146.63,622.41,524.22,UPI,Tuesday
T000153,2019-05-12,South,B009,South - Mangalore,Nitin R,Grocery,GRO-015,1,3068.67,1986.05,3068.67,1986.05,1082.62,277.84,804.78,Card,Sunday
T000154,2020-08-20,East,B001,East - Bhubaneswar,Arun D,Grocery,GRO-035,1,3230.75,2312.48,3230.75,2312.48,918.27,352.71,565.56,Wallet,Thursday
T000155,2021-07-16,West,B012,West - Mumbai,Vikram J,Health & Beauty,HEA-025,1,2024.17,1321.91,2024.17,1321.91,702.26,245.66,456.6,UPI,Friday
T000156,2021-06-09,South,B009,South - Mangalore,Nitin R,Clothing,CLO-021,1,87.44,59.16,87.44,59.16,28.28,30.27,-1.99,NetBanking,Wednesday
T000157,2019-03-07,North,B004,North - Chennai,Anil Rao,Electronics,ELE-034,1,15529.46,9831.39,15529.46,9831.39,5698.07,2022.42,3675.65,Card,Thursday
T000158,2020-09-28,South,B010,South - Mysore,Meera S,Home & Kitchen,HOM-049,4,4124.71,2610.4,16498.84,10441.6,6057.24,698.94,5358.3,UPI,Monday
T000159,2019-07-22,East,B002,East - Kolkata,Priya N,Clothing,CLO-042,2,2151.41,1033.67,4302.82,2067.34,2235.48,669.47,1566.01,Card,Monday
T000160,2019-05-03,North,B006,North - Madurai,Karthik V,Home & Kitchen,HOM-021,2,1178.99,618.05,2357.98,1236.1,1121.88,301.16,820.72,UPI,Friday
T000161,2021-09-12,West,B012,West - Mumbai,Vikram J,Grocery,GRO-037,1,3673.19,2747.22,3673.19,2747.22,925.97,509.5,416.47,UPI,Sunday
T000162,2019-06-13,East,B001,East - Bhubaneswar,Arun D,Grocery,GRO-049,1,4320.85,2272.16,4320.85,2272.16,2048.69,158.65,1890.04,Card,Thursday
T000163,2020-10-26,West,B011,West - Ahmedabad,Kumar S,Grocery,GRO-014,1,339.35,169.55,339.35,169.55,169.8,53.56,116.24,Card,Monday
